"full_name","num_of_brands","brand_diversity_status"
"Daniel Waskey","17","Low Diversity"
"Daniel Wehmhoff","19","Low Diversity"
"Daniel Wilkinson","13","Low Diversity"
"Daniel Wines","25","Medium Diversity"
"Daniel Wolter","5","Low Diversity"
"Daniella Kayl","16","Low Diversity"
"Danielle Breslin","19","Low Diversity"
"Danielle Hurtado","13","Low Diversity"
"Danielle Jones","17","Low Diversity"
"Danielle Miller","15","Low Diversity"
"Danny Arteaga","6","Low Diversity"
"Danny Corsi","40","Medium Diversity"
"Danny Mattlin","12","Low Diversity"
"Danny Siu","7","Low Diversity"
"Danny Turpin","12","Low Diversity"
"Dante Taylor","39","Medium Diversity"
"Daphne Combs","29","Medium Diversity"
"Daphne Corwin","14","Low Diversity"
"Daphne McClaine","31","Medium Diversity"
"Daphne OMalley","9","Low Diversity"
"Daphne Todoroff","8","Low Diversity"
"Daphney Winslow","52","High Diversity"
"Darcy Baiji","9","Low Diversity"
"Darla Briscoe","45","Medium Diversity"
"Darla Myers","56","High Diversity"
"Darla Wong","45","Medium Diversity"
"Darla Zbiegien","22","Medium Diversity"
"Darleen Purcell","7","Low Diversity"
"Darleen Schranz","13","Low Diversity"
"Darlene Bicki","20","Medium Diversity"
"Darlene Phaedra Gillispie","4","Low Diversity"
"Darlene Ray","42","Medium Diversity"
"Darlene Renfro","17","Low Diversity"
"Darlene Stralow","15","Low Diversity"
"Darlyn Grayson","10","Low Diversity"
"Darrel Johnson","13","Low Diversity"
"Darrel Morris","7","Low Diversity"
"Darrel Nickless","12","Low Diversity"
"Darrell Banks","28","Medium Diversity"
"Darrell Vuong","9","Low Diversity"
"Darren Brook","21","Medium Diversity"
"Darren Stanz","25","Medium Diversity"
"Darren Ward","15","Low Diversity"
"Darren Watkins","19","Low Diversity"
"Darren Williams","9","Low Diversity"
"Darroll Loomer","4","Low Diversity"
"Darryl Swingley","6","Low Diversity"
"Darwin Leuer","18","Low Diversity"
"Darwin Malaby","38","Medium Diversity"
"Darwin Slominski","27","Medium Diversity"
"Daryce Palomar","2","Low Diversity"
"Daryl Amos","54","High Diversity"
"Daryl Ives","16","Low Diversity"
"Daryl Kannisto","15","Low Diversity"
"Dauna Barton","75","High Diversity"
"Dave Barukh","28","Medium Diversity"
"Dave Browning","30","Medium Diversity"
"Dave Ciccarelli","31","Medium Diversity"
"Dave Garner","13","Low Diversity"
"Dave Lay","40","Medium Diversity"
"Dave Roberts","29","Medium Diversity"
"Dave Summers","59","High Diversity"
"David Anderson","23","Medium Diversity"
"David Andrade","48","Medium Diversity"
"David Apostol","6","Low Diversity"
"David Ashoo","57","High Diversity"
"David Barnemam","9","Low Diversity"
"David Barnes","24","Medium Diversity"
"David Bartness","26","Medium Diversity"
"David Baughman","26","Medium Diversity"
"David Bernahola","52","High Diversity"
"David Buesch","6","Low Diversity"
"David Byrnes","10","Low Diversity"
"David Cabibi","20","Medium Diversity"
"David Carlson","3","Low Diversity"
"David Carr","18","Low Diversity"
"David Carrillo","23","Medium Diversity"
"David Chavez","30","Medium Diversity"
"David Clark","43","Medium Diversity"
"David Coakley","39","Medium Diversity"
"David Cocadiz","68","High Diversity"
"David Coday","2","Low Diversity"
"David Cooper","50","High Diversity"
"David Dixon","15","Low Diversity"
"David Dreskin","29","Medium Diversity"
"David Ferguson","21","Medium Diversity"
"David Gavlick","23","Medium Diversity"
"David Givens","14","Low Diversity"
"David Graff","26","Medium Diversity"
"David Gray","6","Low Diversity"
"David Guariente","13","Low Diversity"
"David Harris","66","High Diversity"
"David Hassard","58","High Diversity"
"David Jillie","16","Low Diversity"
"David Johnson","6","Low Diversity"
"David Labriola","5","Low Diversity"
"David Lanham","39","Medium Diversity"
"David Larrance","20","Medium Diversity"
"David Malanca","17","Low Diversity"
"David Markrud","26","Medium Diversity"
"David Martinez","20","Medium Diversity"
"David Mathias","14","Low Diversity"
"David Mc Gary","13","Low Diversity"
"David McCool","13","Low Diversity"
"David Mcintire","9","Low Diversity"
"David McKenney","20","Medium Diversity"
"David Mejias","22","Medium Diversity"
"David Milholm","12","Low Diversity"
"David Mize","22","Medium Diversity"
"David Monitor","34","Medium Diversity"
"David Moss","41","Medium Diversity"
"David Ortiz","17","Low Diversity"
"David Owyang","46","Medium Diversity"
"David Pacheco","6","Low Diversity"
"David Raye","6","Low Diversity"
"David Realino","6","Low Diversity"
"David Robbins","10","Low Diversity"
"David Robinett","5","Low Diversity"
"David Robinson","5","Low Diversity"
"David Rodriguez","21","Medium Diversity"
"David Salem","3","Low Diversity"
"David Sanders","29","Medium Diversity"
"David Sandtisteven","7","Low Diversity"
"David Santos","22","Medium Diversity"
"David Schmitt","11","Low Diversity"
"David Selbst","14","Low Diversity"
"David Shepard","36","Medium Diversity"
"David Staisteven","14","Low Diversity"
"David Stevens","47","Medium Diversity"
"David Stockham","5","Low Diversity"
"David Stohson","24","Medium Diversity"
"David Stokes","6","Low Diversity"
"David Sumner","2","Low Diversity"
"David Tenney","8","Low Diversity"
"David Thom","15","Low Diversity"
"David Thompson","10","Low Diversity"
"David Travierso","15","Low Diversity"
"David Trolen","35","Medium Diversity"
"David Tuller","40","Medium Diversity"
"David Uribe","14","Low Diversity"
"David Valentine","10","Low Diversity"
"David Virek","16","Low Diversity"
"David Wainwright","17","Low Diversity"
"David Walker","2","Low Diversity"
"David Wall","14","Low Diversity"
"David Watson","15","Low Diversity"
"David Welge","17","Low Diversity"
"David Wheeler","9","Low Diversity"
"David White","10","Low Diversity"
"David Wilson","2","Low Diversity"
"David Wingfield","18","Low Diversity"
"David Woods","9","Low Diversity"
"David Ziegelman","46","Medium Diversity"
"David Zimmerman","54","High Diversity"
"Davida Young","7","Low Diversity"
"Davis Wilson","17","Low Diversity"
"Dawn Alexander","22","Medium Diversity"
"Dawn Banks","32","Medium Diversity"
"Dawn Barber","30","Medium Diversity"
"Dawn Bergman","31","Medium Diversity"
"Dawn Coburn","12","Low Diversity"
"Dawn Dalander","42","Medium Diversity"
"Dawn Holobaugh","23","Medium Diversity"
"Dawn Laner","79","High Diversity"
"Dawn Ure","28","Medium Diversity"
"Dawn Valerio","14","Low Diversity"
"Dawn Van Buren","37","Medium Diversity"
"Dawn Woods","14","Low Diversity"
"Dawn Zehr","28","Medium Diversity"
"Dayna Kindle","5","Low Diversity"
"Dea Rosendo","15","Low Diversity"
"Dean Bolla","16","Low Diversity"
"Dean Collard","12","Low Diversity"
"Dean Guiterez","8","Low Diversity"
"Deann Smith","8","Low Diversity"
"Deanna Buskirk","10","Low Diversity"
"Deanna Kirby","10","Low Diversity"
"Deanna Parez","10","Low Diversity"
"Deanna Sabella","14","Low Diversity"
"Deanna Sheahan","40","Medium Diversity"
"Deanne Baker","10","Low Diversity"
"Deanne Vanderslice","30","Medium Diversity"
"Debbie Artus","19","Low Diversity"
"Debbie Haley","8","Low Diversity"
"Debbie Kelly","19","Low Diversity"
"Debbie Marinelli","19","Low Diversity"
"Debbie Pfundstein","23","Medium Diversity"
"Debbie Segura","40","Medium Diversity"
"Debbie Smiglewski","10","Low Diversity"
"Debbie Solano","5","Low Diversity"
"Debbie Taro","6","Low Diversity"
"Debbie Tedesco","53","High Diversity"
"Debbie Teranen","12","Low Diversity"
"Debbie Thomas","57","High Diversity"
"Debbie Wagner","13","Low Diversity"
"Debbie Weaver","15","Low Diversity"
"Debbie Weihing","13","Low Diversity"
"Debby Wise","8","Low Diversity"
"Debi Sorensen","18","Low Diversity"
"Debora Shepard","5","Low Diversity"
"Deborah Adams","28","Medium Diversity"
"Deborah Blackburn","28","Medium Diversity"
"Deborah Boyd","5","Low Diversity"
"Deborah Brouillard","21","Medium Diversity"
"Deborah Calhoun","2","Low Diversity"
"Deborah Campbell","26","Medium Diversity"
"Deborah Carter","17","Low Diversity"
"Deborah Clark","7","Low Diversity"
"Deborah Diack","5","Low Diversity"
"Deborah Hammond","20","Medium Diversity"
"Deborah Hoffman","16","Low Diversity"
"Deborah McGill","36","Medium Diversity"
"Deborah Pacioretty","31","Medium Diversity"
"Deborah Payne","12","Low Diversity"
"Deborah Peadilla","21","Medium Diversity"
"Deborah Roberts","10","Low Diversity"
"Deborah Soldan","18","Low Diversity"
"Deborah Torrano","23","Medium Diversity"
"Deborah Weinroth","34","Medium Diversity"
"Debra Baugh","17","Low Diversity"
"Debra Couch","12","Low Diversity"
"Debra Cowan","16","Low Diversity"
"Debra Flanders","15","Low Diversity"
"Debra Girkin","17","Low Diversity"
"Debra Gonzales","30","Medium Diversity"
"Debra Gutierez","11","Low Diversity"
"Debra Hamrick","35","Medium Diversity"
"Debra Harris","12","Low Diversity"
"Debra Kelley","13","Low Diversity"
"Debra Nordstrom","27","Medium Diversity"
"Debra Plasner","21","Medium Diversity"
"Debra Reed","24","Medium Diversity"
"Debra Smith","26","Medium Diversity"
"Debra Thompson","14","Low Diversity"
"Debra Tobias","19","Low Diversity"
"Debra Wilkinson","19","Low Diversity"
"Debra Zimmerman","15","Low Diversity"
"Dee Brickell","15","Low Diversity"
"Dee Fishburn","5","Low Diversity"
"Dee Hanas","28","Medium Diversity"
"Dee Herren","17","Low Diversity"
"DeeDee Abramowitz","22","Medium Diversity"
"DeeDee Bennett","14","Low Diversity"
"DeeDee Cameron","9","Low Diversity"
"Deena Herman","53","High Diversity"
"Deidre Pugh","13","Low Diversity"
"Deirdre Belcher","44","Medium Diversity"
"Deirdre Susan Bandy","55","High Diversity"
"Delbert Steffy","14","Low Diversity"
"Delfino Naugler","15","Low Diversity"
"Delia Cody","50","High Diversity"
"Delia Toone","41","Medium Diversity"
"Dell Gras","23","Medium Diversity"
"Delores Crill","23","Medium Diversity"
"Delores Miller","2","Low Diversity"
"Delores Vallier","23","Medium Diversity"
"Delores Wensler","23","Medium Diversity"
"Deloy Adams","5","Low Diversity"
"Delta Smith","10","Low Diversity"
"Denean Ison","12","Low Diversity"
"Denise Baird","65","High Diversity"
"Denise Baldwin","15","Low Diversity"
"Denise Brophy","4","Low Diversity"
"Denise Campbell","44","Medium Diversity"
"Denise Clark","2","Low Diversity"
"Denise Koman","10","Low Diversity"
"Denise Maccietto","14","Low Diversity"
"Denise Manley","22","Medium Diversity"
"Denise Miller","6","Low Diversity"
"Denise Passig","5","Low Diversity"
"Denise Spencer","5","Low Diversity"
"Denise Stam","19","Low Diversity"
"Denise Thompson","10","Low Diversity"
"Denise Tracy","31","Medium Diversity"
"Denise Van Attenhoven","29","Medium Diversity"
"Denise Veneracion","13","Low Diversity"
"Denise Zimmerly","9","Low Diversity"
"Dennis Ahlin","19","Low Diversity"
"Dennis Ashford","8","Low Diversity"
"Dennis Beasley","4","Low Diversity"
"Dennis Bond","4","Low Diversity"
"Dennis Bullington","49","Medium Diversity"
"Dennis Burbige","72","High Diversity"
"Dennis Castro","13","Low Diversity"
"Dennis Easterling","13","Low Diversity"
"Dennis Ebers","20","Medium Diversity"
"Dennis Fiedler","14","Low Diversity"
"Dennis Hover","47","Medium Diversity"
"Dennis Justice","3","Low Diversity"
"Dennis Keiser","14","Low Diversity"
"Dennis Kingslely","5","Low Diversity"
"Dennis Kurczak","7","Low Diversity"
"Dennis Lorentzson","26","Medium Diversity"
"Dennis Manown","8","Low Diversity"
"Dennis Messer","7","Low Diversity"
"Dennis Passig","8","Low Diversity"
"Dennis Pennington","13","Low Diversity"
"Dennis Stonesifer","24","Medium Diversity"
"Dennis Tobias","20","Medium Diversity"
"Dennis Weaver","26","Medium Diversity"
"Denyse Brown","15","Low Diversity"
"Derek Armstrong","11","Low Diversity"
"Derek Bayol","46","Medium Diversity"
"Derek Estep","10","Low Diversity"
"Derek Standridge","3","Low Diversity"
"Derik Mathis","26","Medium Diversity"
"Dermont Stueber, Jr.","6","Low Diversity"
"Dermont Weber","31","Medium Diversity"
"Derrin Hoggart","7","Low Diversity"
"Derwin Sanchez","7","Low Diversity"
"Desiderio Bayat","18","Low Diversity"
"Devin Wilson","9","Low Diversity"
"Devon Webb","15","Low Diversity"
"Devon Wheeler","9","Low Diversity"
"Dewey Rhea","12","Low Diversity"
"Dewey Sponburg","26","Medium Diversity"
"Diamonte Lukins","39","Medium Diversity"
"Diana Alexander","8","Low Diversity"
"Diana Axtell","51","High Diversity"
"Diana Bellmire","2","Low Diversity"
"Diana Claxton","20","Medium Diversity"
"Diana Davis","36","Medium Diversity"
"Diana Dodge","12","Low Diversity"
"Diana Kimball","8","Low Diversity"
"Diana Lyndon","22","Medium Diversity"
"Diana Moyer","40","Medium Diversity"
"Diana Patton","37","Medium Diversity"
"Diana Redmer","51","High Diversity"
"Diana Sneddon","15","Low Diversity"
"Diana Spence","34","Medium Diversity"
"Diana Stanton","63","High Diversity"
"Diana Verma","10","Low Diversity"
"Diana Walbridge","23","Medium Diversity"
"Diana Zeller","4","Low Diversity"
"Diane Acuna","35","Medium Diversity"
"Diane Anderson","10","Low Diversity"
"Diane Ask","9","Low Diversity"
"Diane Barajas","20","Medium Diversity"
"Diane Barukh","10","Low Diversity"
"Diane Benda","14","Low Diversity"
"Diane Bennett","8","Low Diversity"
"Diane Biondo","50","High Diversity"
"Diane Brown","58","High Diversity"
"Diane Bryant","13","Low Diversity"
"Diane Chaffin","5","Low Diversity"
"Diane Cole","18","Low Diversity"
"Diane Drier","17","Low Diversity"
"Diane Forbes","32","Medium Diversity"
"Diane Friese","9","Low Diversity"
"Diane Garner","7","Low Diversity"
"Diane Kuhl","15","Low Diversity"
"Diane Micalec","2","Low Diversity"
"Diane Potter","10","Low Diversity"
"Diane Rodriguez","6","Low Diversity"
"Diane Schaeffer","6","Low Diversity"
"Diane Scott","20","Medium Diversity"
"Diane Stantz","11","Low Diversity"
"Diane Ulibarri","62","High Diversity"
"Diane Waterhouse","33","Medium Diversity"
"Diane Weathers","41","Medium Diversity"
"Diane Yah","19","Low Diversity"
"Diane Zolnay","34","Medium Diversity"
"Dianna Brown","9","Low Diversity"
"Dianna Christiansen","9","Low Diversity"
"Dianna Turner","22","Medium Diversity"
"Dianne Abreu","42","Medium Diversity"
"Dianne Bagno","26","Medium Diversity"
"Dianne Collins","5","Low Diversity"
"Dianne Parfit","3","Low Diversity"
"Dianne Parr","44","Medium Diversity"
"Dianne Slattengren","20","Medium Diversity"
"Dianne Viger","2","Low Diversity"
"Dianne Waite","3","Low Diversity"
"Dick Brummer","8","Low Diversity"
"Dick Murray","33","Medium Diversity"
"Dieter Pesonen","11","Low Diversity"
"Dina Bowen","10","Low Diversity"
"Dinah Tysor","6","Low Diversity"
"Dion Franklin","15","Low Diversity"
"Dirk Allison","26","Medium Diversity"
"Dirk Bruno","3","Low Diversity"
"Dixie Good","12","Low Diversity"
"Dixie Green","5","Low Diversity"
"Dolly Dolph","18","Low Diversity"
"Dolores Babbitt","4","Low Diversity"
"Dolores Convance","34","Medium Diversity"
"Dolores Gillespie","40","Medium Diversity"
"Dolores Green","16","Low Diversity"
"Dolores Martin","32","Medium Diversity"
"Dolores Moy","16","Low Diversity"
"Dolores Preston","28","Medium Diversity"
"Dolores Rodgers","17","Low Diversity"
"Dolores Thorn","10","Low Diversity"
"Dolores Trahan","27","Medium Diversity"
"Domenic Carlson","46","Medium Diversity"
"Dominic Gash","25","Medium Diversity"
"Dominic James","49","Medium Diversity"
"Dominick Nutter","9","Low Diversity"
"Dominique Skelly","12","Low Diversity"
"Don Brooks","4","Low Diversity"
"Don Howard","49","Medium Diversity"
"Don Knight","51","High Diversity"
"Don Lundblade","18","Low Diversity"
"Don Marshall","14","Low Diversity"
"Don Morton","10","Low Diversity"
"Don Redmond","19","Low Diversity"
"Don Smith","24","Medium Diversity"
"Don Venable","35","Medium Diversity"
"Dona Nichols","22","Medium Diversity"
"Dona Vlcek","14","Low Diversity"
"Donahue Steen","3","Low Diversity"
"Donald Abner","15","Low Diversity"
"Donald Achey","54","High Diversity"
"Donald Adams","59","High Diversity"
"Donald Adkins","7","Low Diversity"
"Donald Baker","6","Low Diversity"
"Donald Barrier","7","Low Diversity"
"Donald Barrington","10","Low Diversity"
"Donald Bertholic","28","Medium Diversity"
"Donald Blanton","3","Low Diversity"
"Donald Brown","16","Low Diversity"
"Donald Chambers","66","High Diversity"
"Donald Coniglio","29","Medium Diversity"
"Donald Curl","13","Low Diversity"
"Donald Davis","3","Low Diversity"
"Donald Goldsmith","2","Low Diversity"
"Donald Gonzales","44","Medium Diversity"
"Donald Hudran","29","Medium Diversity"
"Donald Hunt","45","Medium Diversity"
"Donald Johnson","3","Low Diversity"
"Donald Kohl","40","Medium Diversity"
"Donald Langoni","28","Medium Diversity"
"Donald Marinello","15","Low Diversity"
"Donald Martinez","24","Medium Diversity"
"Donald Minichelli","25","Medium Diversity"
"Donald Moore","11","Low Diversity"
"Donald Newton","61","High Diversity"
"Donald Patera","36","Medium Diversity"
"Donald Piasecki","9","Low Diversity"
"Donald Pucell","59","High Diversity"
"Donald Reasoner","14","Low Diversity"
"Donald Richardson","22","Medium Diversity"
"Donald Scott","5","Low Diversity"
"Donald Spiegel","19","Low Diversity"
"Donald Sweet","8","Low Diversity"
"Donald Thompson","10","Low Diversity"
"Donald Torrez","20","Medium Diversity"
"Donald Vann","3","Low Diversity"
"Donald White","13","Low Diversity"
"Donald Wilson","12","Low Diversity"
"Donna Applegate","19","Low Diversity"
"Donna Arnold","24","Medium Diversity"
"Donna Baer","31","Medium Diversity"
"Donna Berry","23","Medium Diversity"
"Donna Blair","7","Low Diversity"
"Donna Brockett","23","Medium Diversity"
"Donna Caiyam","15","Low Diversity"
"Donna Calmerin","9","Low Diversity"
"Donna Carreras","23","Medium Diversity"
"Donna Ernst","16","Low Diversity"
"Donna Hawk","2","Low Diversity"
"Donna Katz","19","Low Diversity"
"Donna Klein","14","Low Diversity"
"Donna Kneipple","21","Medium Diversity"
"Donna Lord","11","Low Diversity"
"Donna Marrone","16","Low Diversity"
"Donna McConnell","17","Low Diversity"
"Donna Mendelson","29","Medium Diversity"
"Donna Michaluk","9","Low Diversity"
"Donna Mulder","30","Medium Diversity"
"Donna Murray","52","High Diversity"
"Donna Nunez","20","Medium Diversity"
"Donna Perry","65","High Diversity"
"Donna Ragland","8","Low Diversity"
"Donna Reeves","22","Medium Diversity"
"Donna Shelton","6","Low Diversity"
"Donna Shutt","54","High Diversity"
"Donna Smith","48","Medium Diversity"
"Donna Speigel","13","Low Diversity"
"Donna Stehlin","45","Medium Diversity"
"Donna Strang","25","Medium Diversity"
"Donna Styles","5","Low Diversity"
"Donna Suttich","15","Low Diversity"
"Donna Unfried","12","Low Diversity"
"Donna Weisinger","70","High Diversity"
"Donna West","9","Low Diversity"
"Donny Castano","18","Low Diversity"
"Donnyale This","28","Medium Diversity"
"Donovan Underwood","36","Medium Diversity"
"Dora Blechle","47","Medium Diversity"
"Dora Frank","5","Low Diversity"
"Dora Horton","6","Low Diversity"
"Dora Sims","57","High Diversity"
"Dora Taylor","52","High Diversity"
"Dora Whittington","22","Medium Diversity"
"Doralee McClements","15","Low Diversity"
"Doreen Anderson","11","Low Diversity"
"Doreene Traeber","13","Low Diversity"
"Dorene Dozier","18","Low Diversity"
"Dori Grando","4","Low Diversity"
"Doris Aitkenhead","40","Medium Diversity"
"Doris Blackburn","11","Low Diversity"
"Doris Cabral","8","Low Diversity"
"Doris Carter","24","Medium Diversity"
"Doris Coldiron","24","Medium Diversity"
"Doris Fox","22","Medium Diversity"
"Doris Gettler","28","Medium Diversity"
"Doris Gonzales","16","Low Diversity"
"Doris Ishizu","2","Low Diversity"
"Doris Johnson","48","Medium Diversity"
"Doris Lint","23","Medium Diversity"
"Doris Mabe","21","Medium Diversity"
"Doris Martin","2","Low Diversity"
"Doris Meyers","4","Low Diversity"
"Doris Miller","13","Low Diversity"
"Doris Mills","11","Low Diversity"
"Doris Perkins","66","High Diversity"
"Doris Rohar","23","Medium Diversity"
"Doris Saurerveirn","30","Medium Diversity"
"Doris Shoemaker","38","Medium Diversity"
"Doris Stogner","11","Low Diversity"
"Doris Suarez","68","High Diversity"
"Doris Thurlow","36","Medium Diversity"
"Doris Traube","4","Low Diversity"
"Doris Tupaz","19","Low Diversity"
"Doris Witherspoon","42","Medium Diversity"
"Dorothea Souza","5","Low Diversity"
"Dorothy Ace","2","Low Diversity"
"Dorothy Adams","37","Medium Diversity"
"Dorothy Ahmari","37","Medium Diversity"
"Dorothy Arredondo","17","Low Diversity"
"Dorothy Baird","36","Medium Diversity"
"Dorothy Barry","15","Low Diversity"
"Dorothy Bates","4","Low Diversity"
"Dorothy Bauman","21","Medium Diversity"
"Dorothy Bishop","33","Medium Diversity"
"Dorothy Bongirno","11","Low Diversity"
"Dorothy Burgess","31","Medium Diversity"
"Dorothy Calvert","24","Medium Diversity"
"Dorothy Carroll","68","High Diversity"
"Dorothy Chrisman","43","Medium Diversity"
"Dorothy Contreras","16","Low Diversity"
"Dorothy Conway","18","Low Diversity"
"Dorothy DeVita","28","Medium Diversity"
"Dorothy Evans","13","Low Diversity"
"Dorothy Fox","28","Medium Diversity"
"Dorothy Kerrigan","17","Low Diversity"
"Dorothy Kubacki","18","Low Diversity"
"Dorothy Lay","50","High Diversity"
"Dorothy McDonald","24","Medium Diversity"
"Dorothy Moyer","11","Low Diversity"
"Dorothy Myer","22","Medium Diversity"
"Dorothy Owen","4","Low Diversity"
"Dorothy Perkins","17","Low Diversity"
"Dorothy Reed","4","Low Diversity"
"Dorothy Roach","10","Low Diversity"
"Dorothy Robinson","26","Medium Diversity"
"Dorothy Rydzewski","7","Low Diversity"
"Dorothy Snow","10","Low Diversity"
"Dorothy Starr","16","Low Diversity"
"Dorothy Steeley","24","Medium Diversity"
"Dorothy Stice","19","Low Diversity"
"Dorothy Stratton","36","Medium Diversity"
"Dorothy Swinford","8","Low Diversity"
"Dorothy Theil","28","Medium Diversity"
"Dorothy Thomas","18","Low Diversity"
"Dorothy Ventura","18","Low Diversity"
"Dorothy Warren","10","Low Diversity"
"Dorothy Wedellsborg","47","Medium Diversity"
"Dorothy Weidoff","2","Low Diversity"
"Dorothy Weimer","23","Medium Diversity"
"Dorothy Weir","22","Medium Diversity"
"Dorothy Wollesen","20","Medium Diversity"
"Dorothy Yashar","6","Low Diversity"
"Dorrie Bell","5","Low Diversity"
"Doshie Gutierrez","56","High Diversity"
"Dottie Rigdon","49","Medium Diversity"
"Doug Fead","19","Low Diversity"
"Doug Thomas","20","Medium Diversity"
"Doug Thruman","54","High Diversity"
"Doug Tipton","25","Medium Diversity"
"Doug Velasquez","7","Low Diversity"
"Douglas Baldwin","13","Low Diversity"
"Douglas Clark","38","Medium Diversity"
"Douglas Gagnon","25","Medium Diversity"
"Douglas Hoffner","15","Low Diversity"
"Douglas Jegier","36","Medium Diversity"
"Douglas Lawton","25","Medium Diversity"
"Douglas Lechtenberg","5","Low Diversity"
"Douglas Meredith","6","Low Diversity"
"Douglas Russell","23","Medium Diversity"
"Douglas Wood","31","Medium Diversity"
"Doyle Caras","3","Low Diversity"
"Duane Fitzgerald","17","Low Diversity"
"Duane Howard","21","Medium Diversity"
"Duane Szigethy","25","Medium Diversity"
"Duane Tooker","45","Medium Diversity"
"Duane West","30","Medium Diversity"
"Dustin Alvarez","18","Low Diversity"
"Dustin Wilson","11","Low Diversity"
"Dwain Waterhouse","28","Medium Diversity"
"Dwayne Pote","16","Low Diversity"
"Dyana Gallagher","7","Low Diversity"
"Dyanna Livingston","10","Low Diversity"
"Dylan Stanley","20","Medium Diversity"
"E. Cappa","34","Medium Diversity"
"Earl Ball","23","Medium Diversity"
"Earl Burris","5","Low Diversity"
"Earl Lafferty","23","Medium Diversity"
"Earl Remley","48","Medium Diversity"
"Earl Roth","7","Low Diversity"
"Earl Rubey","20","Medium Diversity"
"Earl Sutherland","2","Low Diversity"
"Earl Taylor","18","Low Diversity"
"Earl Triemer","9","Low Diversity"
"Earl Wolf","13","Low Diversity"
"Earlene Smith","23","Medium Diversity"
"Earline Spark","44","Medium Diversity"
"Earnest Mora","25","Medium Diversity"
"Ebony Allen","22","Medium Diversity"
"Ed Bias","53","High Diversity"
"Ed Graham","7","Low Diversity"
"Ed Howlett","15","Low Diversity"
"Ed Millar","32","Medium Diversity"
"Ed Mosco","40","Medium Diversity"
"Ed Terry","12","Low Diversity"
"Ed Weaber","14","Low Diversity"
"Eddie Brierley","15","Low Diversity"
"Eddie Campanile","39","Medium Diversity"
"Eddie Gillmore","10","Low Diversity"
"Eddie Holmes","15","Low Diversity"
"Eddie Vigil","6","Low Diversity"
"Eddy Vigil","51","High Diversity"
"Edgar Caudill","27","Medium Diversity"
"Edie Horbach","57","High Diversity"
"Edie Stuart","16","Low Diversity"
"Edie Vandyke","10","Low Diversity"
"Edith Cass","6","Low Diversity"
"Edith Daniel Johnson","4","Low Diversity"
"Edith Slonim","11","Low Diversity"
"Edith Spurs","8","Low Diversity"
"Edith Vuong","13","Low Diversity"
"Edith Wise","12","Low Diversity"
"Edith Wisner","7","Low Diversity"
"Edmund Brooks","17","Low Diversity"
"Edna Benson","41","Medium Diversity"
"Edna Dawson","10","Low Diversity"
"Edna Garrett","6","Low Diversity"
"Edna Keane","32","Medium Diversity"
"Edna Leonguerrero","13","Low Diversity"
"Edna Lopez","57","High Diversity"
"Edna Pellow","28","Medium Diversity"
"Edna Rappel","16","Low Diversity"
"Edna Wagner","33","Medium Diversity"
"Edna Woodson","65","High Diversity"
"Eduardo Godinez","12","Low Diversity"
"Eduardo Munoz","18","Low Diversity"
"Eduardo Waniewski","23","Medium Diversity"
"Edward Agostini","6","Low Diversity"
"Edward Barrera","46","Medium Diversity"
"Edward Bruce","5","Low Diversity"
"Edward Buss","31","Medium Diversity"
"Edward Campbell","14","Low Diversity"
"Edward Gavalas","34","Medium Diversity"
"Edward Gilliam","45","Medium Diversity"
"Edward Hatton","5","Low Diversity"
"Edward Hughan","13","Low Diversity"
"Edward Kaddy","52","High Diversity"
"Edward Keith","30","Medium Diversity"
"Edward Kozlowski","56","High Diversity"
"Edward Lovell","13","Low Diversity"
"Edward Melomed","8","Low Diversity"
"Edward Morgan","28","Medium Diversity"
"Edward Ortiz","6","Low Diversity"
"Edward Payne","8","Low Diversity"
"Edward Quinonez","43","Medium Diversity"
"Edward Rector","7","Low Diversity"
"Edward Roth","25","Medium Diversity"
"Edward Skalka","23","Medium Diversity"
"Edward Staloch","23","Medium Diversity"
"Edward Stemple","6","Low Diversity"
"Edward Suarez","4","Low Diversity"
"Edward Sundstrom","19","Low Diversity"
"Edward Tucker","39","Medium Diversity"
"Edward Turner","24","Medium Diversity"
"Edward Wolfe","20","Medium Diversity"
"Edwin Bauman","7","Low Diversity"
"Edwin Cordova","58","High Diversity"
"Edwin Hare","11","Low Diversity"
"Edwin Kovacs","16","Low Diversity"
"Edwin Oettel","27","Medium Diversity"
"Edwin Peterson","35","Medium Diversity"
"Edwin White","7","Low Diversity"
"Efraim Ellis","21","Medium Diversity"
"Eileen Cordova","12","Low Diversity"
"Eileen Maier","14","Low Diversity"
"Eileen Miller","5","Low Diversity"
"Eileen Spencer","44","Medium Diversity"
"Eileen Walker","35","Medium Diversity"
"Eithne Latshaw","5","Low Diversity"
"Elaina Anderson","5","Low Diversity"
"Elaine Franklin","12","Low Diversity"
"Elaine Geldems","3","Low Diversity"
"Elaine Lerfald","2","Low Diversity"
"Elaine Martinez","20","Medium Diversity"
"Elaine Mceahern","11","Low Diversity"
"Elaine Santisteven","22","Medium Diversity"
"Elaine Whelan","23","Medium Diversity"
"Elaine Young","50","High Diversity"
"Elanor Kinney","41","Medium Diversity"
"Elayne Kajzer","7","Low Diversity"
"Eleanor Borden","10","Low Diversity"
"Eleanor Burns","7","Low Diversity"
"Eleanor Hawn","10","Low Diversity"
"Eleanor Pruitt","39","Medium Diversity"
"Eleanor Storey","67","High Diversity"
"Eleanor Svoboda","64","High Diversity"
